City,Country,City ID,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
albany,US,19530.0,42.6,-73.97,81.0,39.0,62.0,10.74
loviisa,FI,2004269.0,60.46,26.23,72.0,60.0,0.0,1.01
aklavik,CA,821.0,68.22,-135.01,51.8,57.0,90.0,9.17
tuktoyaktuk,CA,942.0,69.45,-133.04,37.4,93.0,90.0,9.17
hermanus,ZA,2003650.0,-34.42,19.23,54.0,81.0,6.0,7.0
mataura,NZ,2008959.0,-46.19,168.86,39.0,83.0,79.0,3.0
new norfolk,AU,2031307.0,-42.78,147.06,39.99,84.0,56.0,3.04
champerico,GT,7068.0,14.3,-91.92,89.6,59.0,40.0,6.93
yulara,AU,9487.0,-25.24,130.99,42.8,60.0,0.0,5.82
tautira,PF,7318.0,-17.73,-149.15,78.8,69.0,20.0,11.41
nome,US,7770.0,64.5,-165.41,46.4,65.0,90.0,14.99
neuquen,AR,8310.0,-38.95,-68.06,33.8,80.0,75.0,9.17
geraldton,AU,9522.0,-28.77,114.6,57.2,87.0,7.0,12.75
san cristobal,VE,8587.0,7.77,-72.22,89.6,49.0,40.0,24.16
jamestown,US,4588.0,42.1,-79.24,78.01,44.0,20.0,10.29
arya,PK,9721.0,33.6,73.07,82.4,65.0,0.0,9.17
busselton,AU,2011706.0,-33.65,115.33,57.0,87.0,37.0,11.07
sale,MA,2402.0,34.04,-6.82,71.6,68.0,75.0,9.17
peniche,PT,2002665.0,39.36,-9.38,71.01,72.0,0.0,10.0
ushuaia,AR,8303.0,-54.8,-68.3,37.4,69.0,20.0,24.16
payson,US,5442.0,40.04,-111.73,77.0,36.0,40.0,6.93
vaini,TO,7285.0,-21.2,-175.2,71.6,94.0,75.0,5.82
saint-philippe,RE,2127.0,-21.36,55.77,71.6,73.0,62.0,20.8
mali,GN,2433.0,12.08,-12.3,95.0,59.0,40.0,4.7
quatre cocos,MU,2061.0,-20.21,57.76,73.0,83.0,75.0,17.22
kenai,US,7680.0,60.55,-151.26,59.0,66.0,75.0,10.29
callaway,US,5308.0,30.15,-85.57,93.2,59.0,75.0,10.29
alexandria,EG,2511.0,31.22,29.96,77.0,78.0,40.0,9.17
north bend,US,5239.0,43.41,-124.22,75.99,72.0,1.0,13.87
avarua,CK,7271.0,-21.21,-159.78,71.6,73.0,100.0,3.36
hobart,AU,9545.0,-42.88,147.33,39.99,86.0,52.0,10.29
saint-georges,GD,8781.0,12.06,-61.75,87.8,70.0,40.0,17.22
clyde,US,2016547.0,41.3,-82.98,86.0,35.0,100.0,4.0
wilmington,US,4521.0,34.23,-77.94,91.0,38.0,75.0,2.44
sitka,US,7795.0,57.05,-135.33,53.6,87.0,90.0,4.7
nikolskoye,RU,8926.0,59.7,30.79,77.0,47.0,0.0,6.71
kapaa,US,7873.0,22.08,-159.32,80.6,74.0,20.0,9.17
victoria,HK,265999.0,22.29,114.16,82.99,81.0,74.0,3.0
port alfred,ZA,2011314.0,-33.59,26.89,59.0,70.0,7.0,5.01
yellowknife,CA,1007.0,62.46,-114.35,64.99,55.0,75.0,3.36
pitimbu,BR,8391.0,-7.47,-34.81,80.6,78.0,40.0,11.41
georgetown,MY,9429.0,5.41,100.34,80.6,88.0,20.0,2.24
hilo,US,7881.0,19.73,-155.09,78.8,65.0,40.0,4.65
prince rupert,CA,883.0,54.32,-130.32,55.4,87.0,90.0,9.17
witu,KE,5604.0,-2.39,40.44,78.8,78.0,1.0,12.84
tasiilaq,GL,81.0,65.61,-37.64,46.4,75.0,40.0,8.05
methven,NZ,20126.0,-43.63,171.65,45.0,91.0,100.0,1.01
rorvik,NO,1653.0,64.86,11.24,62.6,67.0,22.0,17.22
arroyo,ES,6437.0,41.61,-4.8,78.01,33.0,0.0,14.99
ponta do sol,PT,6894.0,32.67,-17.1,71.6,64.0,40.0,13.87
narrabri,AU,9563.0,-30.32,149.78,41.0,86.0,0.0,1.12
fortuna,US,4127.0,40.6,-124.16,64.0,88.0,20.0,9.17
maldonado,UY,8712.0,-34.67,-54.92,55.0,62.0,75.0,19.46
port elizabeth,ZA,1973.0,-33.92,25.57,59.0,62.0,0.0,18.34
meadow lake,US,3205.0,34.8,-106.54,91.99,18.0,75.0,6.55
mar del plata,AR,8305.0,-38.0,-57.56,52.0,66.0,40.0,13.87
manado,ID,9356.0,1.49,124.85,75.2,100.0,40.0,4.21
aykhal,RU,8846.0,66.0,111.5,60.8,59.0,75.0,6.71
erfurt,DE,1266.0,50.98,11.03,79.0,53.0,0.0,2.24
whitianga,NZ,2002961.0,-36.83,175.7,57.99,98.0,83.0,7.0
talcahuano,CL,8499.0,-36.72,-73.12,51.8,93.0,90.0,12.75
palm harbor,US,3654.0,28.08,-82.76,99.0,47.0,1.0,5.82
iqaluit,CA,797.0,63.75,-68.51,48.2,70.0,75.0,2.24
iisalmi,FI,1345.0,63.56,27.19,77.0,47.0,49.0,4.7
klaksvik,FO,1596.0,62.23,-6.59,53.6,100.0,100.0,6.93
bambous virieux,MU,2061.0,-20.34,57.76,73.0,83.0,75.0,17.22
uberaba,BR,8472.0,-19.75,-47.93,78.8,36.0,75.0,5.82
pierre,US,5361.0,44.37,-100.35,81.0,54.0,1.0,10.29
cabo san lucas,MX,7151.0,22.89,-109.91,89.6,15.0,5.0,6.76
florianopolis,BR,8360.0,-27.61,-48.5,64.0,42.0,100.0,12.75
cayenne,GF,8669.0,4.93,-52.33,84.2,74.0,98.0,10.29
bluff,NZ,2008959.0,-46.6,168.33,39.0,83.0,99.0,3.0
antofagasta,CL,8488.0,-23.65,-70.4,62.6,63.0,22.0,10.29
bethel,US,3888.0,41.37,-73.41,84.0,39.0,40.0,5.82
talnakh,RU,8951.0,69.49,88.4,62.6,63.0,100.0,6.71
porto nacional,BR,8419.0,-10.71,-48.42,91.0,43.0,40.0,8.05
bairiki,KI,7300.0,1.33,172.98,82.4,74.0,20.0,11.41
severomorsk,RU,8927.0,69.07,33.42,53.6,66.0,75.0,8.95
santa marta,CO,8624.0,11.24,-74.2,91.4,63.0,75.0,8.05
saldanha,ZA,1943.0,-33.01,17.94,55.4,87.0,90.0,6.93
lompoc,US,4747.0,34.64,-120.46,69.01,77.0,9.0,8.05
falun,SE,1789.0,60.6,15.63,82.4,39.0,69.0,4.7
punta arenas,CL,8487.0,-53.15,-70.92,37.4,69.0,0.0,11.41
clyde river,CA,776.0,70.47,-68.59,48.2,87.0,20.0,6.93
puerto baquerizo moreno,EC,8546.0,-0.9,-89.6,77.0,73.0,20.0,18.34
kahului,US,7879.0,20.89,-156.47,82.4,61.0,20.0,17.22
vangazi,LV,1876.0,57.09,24.55,80.6,44.0,0.0,6.93
arraial do cabo,BR,8326.0,-22.97,-42.03,78.8,73.0,7.0,12.75
saint-louis,SN,2427.0,16.33,-15.0,102.2,31.0,0.0,2.24
nishihara,JP,8156.0,26.18,127.76,75.2,100.0,90.0,3.36
new port richey,US,2012526.0,28.24,-82.72,98.01,47.0,33.0,1.99
barrow,US,7649.0,71.29,-156.79,42.8,87.0,90.0,9.17
anadyr,RU,8872.0,64.75,177.48,41.0,69.0,40.0,29.08
fairbanks,US,7684.0,64.84,-147.72,64.0,58.0,1.0,3.42
norman wells,CA,951.0,65.28,-126.83,66.2,48.0,20.0,12.75
korkino,RU,8975.0,54.89,61.4,46.4,87.0,40.0,8.95
aviles,ES,6388.0,43.55,-5.92,71.01,77.0,20.0,4.7
hasaki,JP,7955.0,35.73,140.83,68.0,94.0,75.0,5.82
mayo,US,5056.0,38.89,-76.51,88.0,45.0,20.0,9.17
bredasdorp,ZA,1966.0,-34.53,20.04,50.0,87.0,5.0,4.7
portland,US,5321.0,45.52,-122.68,78.01,46.0,20.0,5.82
husavik,IS,83.0,66.04,-17.34,50.0,81.0,75.0,14.99
berlevag,NO,1620.0,70.86,29.09,44.6,87.0,75.0,35.57
luderitz,NA,2260.0,-26.65,15.16,57.2,71.0,0.0,13.87
vestmanna,FO,1596.0,62.16,-7.17,53.6,100.0,100.0,6.93
cap malheureux,MU,2002134.0,-19.98,57.61,73.0,76.0,28.0,10.0
alyangula,AU,9527.0,-13.85,136.42,73.4,88.0,75.0,2.24
grand gaube,MU,2002134.0,-20.01,57.66,73.0,76.0,33.0,10.0
dunedin,NZ,2031989.0,-45.87,170.5,48.0,85.0,100.0,1.99
domat,CH,2012858.0,46.83,9.45,66.99,68.0,100.0,3.0
puerto ayora,EC,8521.0,-0.74,-90.35,80.6,61.0,55.0,21.92
high level,CA,867.0,58.52,-117.14,64.4,55.0,75.0,2.24
cape town,ZA,1899.0,-33.93,18.42,59.0,71.0,40.0,10.29
thompson,CA,935.0,55.74,-97.86,75.2,47.0,40.0,4.7
margate,GB,1419.0,51.38,1.39,77.0,50.0,0.0,16.11
kodiak,US,7668.0,57.79,-152.41,57.2,58.0,90.0,9.17
esperance,AU,9525.0,-33.87,121.9,55.4,54.0,0.0,10.29
mahebourg,MU,2061.0,-20.41,57.7,71.6,83.0,75.0,17.22
torbay,CA,998.0,47.67,-52.73,75.99,64.0,75.0,18.34
bodden town,KY,7265.0,19.28,-81.25,87.8,79.0,40.0,11.41
cascais,PT,6873.0,38.7,-9.42,70.0,72.0,40.0,11.41
yeppoon,AU,9499.0,-23.13,150.73,46.4,81.0,7.0,6.82
aswan,EG,2526.0,24.09,32.91,96.8,15.0,0.0,17.22
khani,GE,8856.0,41.96,42.96,75.2,78.0,90.0,5.82
uppsala,SE,1731.0,60.0,17.75,80.6,42.0,66.0,12.75
flinders,AU,2033627.0,-34.58,150.86,53.01,77.0,46.0,3.0
nago,JP,8138.0,26.59,127.98,73.4,94.0,90.0,8.08
praia,CV,2462.0,14.92,-23.51,80.6,61.0,75.0,19.46
banjar,ID,9333.0,-8.19,114.97,77.0,100.0,20.0,1.12
salta,AR,8267.0,-24.79,-65.41,53.6,54.0,75.0,3.36
huescar,ES,2004386.0,37.81,-2.54,81.0,34.0,16.0,12.08
lumberton,US,4863.0,34.62,-79.01,87.8,38.0,40.0,4.7
floirac,FR,6450.0,44.83,-0.51,77.0,64.0,83.0,11.41
casablanca,MA,2386.0,33.59,-7.62,71.6,64.0,40.0,18.34
cochrane,CA,763.0,51.18,-114.47,75.2,29.0,75.0,5.82
sroda wielkopolska,PL,1710.0,52.23,17.28,66.2,88.0,37.0,6.93
haverfordwest,GB,1434.0,51.8,-4.97,63.0,77.0,82.0,10.29
pacific grove,US,4980.0,36.62,-121.92,72.0,72.0,40.0,6.93
camacha,PT,6902.0,33.08,-16.33,71.6,64.0,20.0,10.29
san patricio,MX,7166.0,19.22,-104.7,80.6,83.0,90.0,6.93
ribeira grande,PT,6883.0,38.52,-28.7,71.6,78.0,20.0,17.22
warrington,GB,1399.0,53.39,-2.58,68.0,72.0,47.0,8.05
vardo,NO,1666.0,70.37,31.11,48.2,70.0,75.0,23.04
lebanon,US,4821.0,36.21,-86.29,86.0,54.0,1.0,10.29
san nicolas,PH,8159.0,18.17,120.6,78.8,94.0,20.0,2.95
springfield,US,5821.0,37.22,-93.3,86.0,66.0,75.0,12.75
pisco,PE,8691.0,-13.7,-76.22,66.0,77.0,75.0,8.05
nantucket,US,3218.0,41.28,-70.1,71.6,73.0,1.0,10.29
rundu,NA,2277.0,-17.93,19.77,64.4,34.0,0.0,4.7
lake city,US,4685.0,30.19,-82.64,93.99,52.0,1.0,4.7
arvika,SE,1779.0,59.66,12.59,82.99,34.0,0.0,5.82
langham,CA,977.0,52.37,-106.97,80.6,36.0,75.0,8.05
ulladulla,AU,9594.0,-35.35,150.47,48.99,93.0,90.0,4.7
rustam,PK,7591.0,27.97,68.8,98.6,47.0,0.0,9.17
machacamarca,BO,8625.0,-18.17,-67.03,59.0,30.0,20.0,16.11
wajir,KE,2571.0,1.75,40.06,86.0,48.0,75.0,6.93
la ronge,CA,949.0,55.1,-105.28,69.8,46.0,75.0,11.41
dauphin,CA,780.0,51.15,-100.05,80.6,42.0,1.0,10.29
novopokrovka,UA,8905.0,49.84,36.55,73.4,60.0,0.0,8.95
asyut,EG,2510.0,27.18,31.18,89.6,27.0,0.0,13.87
vila velha,BR,8474.0,-20.33,-40.29,84.99,45.0,20.0,6.93
sibu,MY,9369.0,2.3,111.82,75.2,94.0,40.0,4.7
saint-gaudens,FR,6471.0,43.08,0.67,78.01,78.0,100.0,6.93
sioux lookout,CA,979.0,50.1,-91.92,71.6,78.0,75.0,13.87
kemptville,CA,5184.0,45.02,-75.64,80.6,44.0,75.0,10.29
kashi,CN,9676.0,39.45,75.98,75.2,25.0,100.0,6.71
saint-joseph,RE,2127.0,-21.37,55.62,71.6,73.0,47.0,20.8
avera,US,2827.0,33.19,-82.53,89.6,49.0,1.0,9.17
komsomolskiy,UZ,9011.0,40.43,71.72,77.0,36.0,20.0,6.93
niles,US,5228.0,42.02,-87.8,72.0,88.0,90.0,10.29
las cruces,US,4757.0,32.31,-106.78,97.0,11.0,1.0,3.36
katsuura,JP,8052.0,35.13,140.3,75.2,94.0,75.0,5.82
carnarvon,AU,9505.0,-24.87,113.63,57.2,93.0,75.0,4.7
lasa,IT,6813.0,46.62,10.7,63.0,87.0,40.0,6.93
hamilton,US,4776.0,39.18,-84.53,84.99,54.0,75.0,12.75
boat of garten,GB,1435.0,57.25,-3.76,66.2,93.0,20.0,2.24
bulnes,CL,8483.0,-36.74,-72.3,46.4,87.0,90.0,19.46
bronnoysund,NO,1611.0,65.46,12.2,60.8,77.0,78.0,12.75
naze,JP,8002.0,28.37,129.48,78.8,100.0,40.0,8.05
longyearbyen,SJ,1663.0,78.22,15.64,50.0,71.0,40.0,12.75
gouyave,GD,8781.0,12.16,-61.73,87.8,70.0,40.0,17.22
belmonte,BR,8422.0,-15.86,-38.88,77.0,73.0,75.0,6.93
sterling,US,4481.0,39.01,-77.43,87.01,39.0,75.0,13.87
ikryanoye,RU,8974.0,46.09,47.73,69.8,32.0,0.0,6.71
buchanan,LR,2389.0,5.88,-10.05,78.8,94.0,75.0,10.09
ketchikan,US,7741.0,55.34,-131.65,53.6,93.0,90.0,9.17
phanom sarakham,TH,2000906.0,13.75,101.36,90.0,76.0,100.0,4.79
nybro,SE,1757.0,56.74,15.91,75.2,53.0,0.0,8.05
portobelo,PA,2013151.0,9.55,-79.65,84.99,83.0,100.0,5.01
bereda,ES,2013071.0,43.27,-7.54,66.99,79.0,100.0,11.01
port macquarie,AU,2000886.0,-31.43,152.92,51.01,89.0,93.0,8.55
northam,GB,2005965.0,51.03,-4.22,64.99,73.0,89.0,8.01
ankara,TR,6948.0,39.92,32.85,73.4,49.0,40.0,6.93
gillette,US,2006559.0,44.29,-105.5,77.0,44.0,0.0,3.0
belle glade,US,2007993.0,26.68,-80.67,91.99,62.0,97.0,3.0
plouzane,FR,6554.0,48.38,-4.62,64.4,77.0,75.0,20.8
broome,US,3429.0,42.25,-75.83,80.01,41.0,20.0,9.17
marawi,PH,2007154.0,8.0,124.29,75.0,94.0,77.0,4.0
neka,IR,7498.0,36.65,53.3,77.0,78.0,40.0,6.93
puerto ayacucho,VE,8586.0,5.66,-67.62,89.6,55.0,40.0,4.7
ordubad,AZ,8839.0,38.91,46.02,78.8,31.0,75.0,13.87
greencastle,US,4256.0,39.64,-86.86,89.01,58.0,40.0,10.29
red bluff,US,5626.0,40.18,-122.24,100.4,17.0,1.0,12.75
los llanos de aridane,ES,2377.0,28.66,-17.92,73.4,69.0,75.0,18.34
cuiaba,BR,8352.0,-15.6,-56.1,86.0,48.0,11.0,4.7
vestmannaeyjar,IS,93.0,63.44,-20.27,53.6,71.0,75.0,6.93
prince albert,CA,875.0,53.2,-105.77,66.2,59.0,75.0,5.82
tabatinga,BR,8444.0,-4.25,-69.94,87.8,66.0,40.0,5.82
lowestoft,GB,2019850.0,52.48,1.75,75.99,85.0,100.0,8.01
kaitangata,NZ,2031989.0,-46.28,169.85,46.99,85.0,100.0,1.99
touros,BR,8452.0,-5.2,-35.46,82.4,69.0,40.0,14.99
rovaniemi,FI,1354.0,66.5,25.72,64.4,39.0,100.0,4.7
san luis de planes,HN,7097.0,14.98,-88.13,93.2,46.0,20.0,11.41
nuuk,GL,86.0,64.18,-51.72,46.4,65.0,20.0,8.05
kiama,AU,20106.0,-34.68,150.87,53.01,79.0,67.0,1.99
port moresby,PG,42.0,-9.44,147.18,77.0,88.0,75.0,11.41
le port,RE,2133.0,-20.94,55.29,71.6,82.0,75.0,21.92
brawley,US,4540.0,32.98,-115.53,99.0,17.0,1.0,4.7
cotacachi,EC,8555.0,0.3,-78.27,66.2,59.0,75.0,12.75
saint-leu,RE,2127.0,-21.15,55.28,71.6,73.0,33.0,20.8
smithers,CA,990.0,54.78,-127.17,55.4,66.0,75.0,2.24
fairmont,US,2006787.0,39.49,-80.14,86.0,48.0,100.0,9.86
marmora,IT,6754.0,44.46,7.09,78.01,64.0,75.0,4.7
corinto,GR,2002027.0,37.94,22.96,82.99,49.0,0.0,3.0
keita,NE,1189.0,14.76,5.77,93.2,30.0,20.0,6.93
campbell river,CA,752.0,50.02,-125.24,66.2,68.0,90.0,2.84
ilulissat,GL,165.0,69.22,-51.1,39.2,86.0,75.0,4.7
luoyang,CN,266522.0,34.68,112.45,80.01,99.0,76.0,5.3
mount gambier,AU,9560.0,-37.83,140.77,44.6,87.0,90.0,8.05
mount isa,AU,9495.0,-20.73,139.5,50.0,39.0,0.0,5.82
saint george,US,5832.0,37.1,-113.58,93.99,17.0,1.0,3.04
khorramshahr,IR,7439.0,30.44,48.17,96.8,18.0,0.0,4.7
santiago,CL,8506.0,-33.46,-70.65,57.2,33.0,75.0,3.36
souillac,MU,2061.0,-20.52,57.52,71.6,83.0,75.0,17.22
shelbyville,US,5960.0,35.48,-86.46,80.01,74.0,75.0,10.29
lloydminster,CA,850.0,53.28,-110.0,66.2,55.0,90.0,10.29
lahaina,US,7851.0,20.88,-156.68,82.4,65.0,75.0,11.41
narsaq,GL,47.0,60.92,-46.05,55.4,50.0,20.0,6.93
bathsheba,BB,8772.0,13.22,-59.52,86.0,74.0,75.0,23.04
ilheus,BR,8386.0,-14.79,-39.05,82.4,74.0,20.0,10.29
isla mujeres,MX,7177.0,21.23,-86.73,87.8,74.0,75.0,6.93
swellendam,ZA,1966.0,-34.02,20.44,50.0,87.0,0.0,4.7
yarmouth,US,4454.0,41.71,-70.23,78.8,65.0,40.0,10.29
morwell,AU,2021657.0,-38.23,146.4,35.01,96.0,3.0,0.76
broken hill,AU,9491.0,-31.95,141.43,44.6,65.0,40.0,6.93
ocean city,US,3222.0,39.28,-74.57,89.6,31.0,20.0,11.41
belgrade,RS,7028.0,44.8,20.47,80.6,57.0,98.0,6.93
lyngseidet,NO,1672.0,69.58,20.22,51.8,71.0,75.0,25.28
takaka,NZ,2002166.0,-40.85,172.8,55.0,80.0,100.0,7.0
cabra,ES,2008401.0,37.47,-4.44,84.0,29.0,94.0,5.01
honiara,SB,2.0,-9.43,159.95,71.6,94.0,20.0,2.24
atherton,GB,2001932.0,53.52,-2.49,66.99,73.0,73.0,8.01
vammala,FI,1360.0,61.33,22.9,79.0,34.0,0.0,12.75
hervey bay,AU,9501.0,-25.3,152.85,55.99,82.0,90.0,6.93
twin falls,US,6085.0,42.56,-114.46,78.8,34.0,1.0,8.05
palmer,US,3598.0,42.16,-72.33,82.4,34.0,75.0,8.05
andenes,NO,1603.0,69.31,16.12,50.0,87.0,75.0,10.29
kosmach,UA,8906.0,48.75,24.37,71.6,73.0,75.0,4.47
port hedland,AU,9585.0,-20.32,118.57,55.4,58.0,0.0,5.82
bayonet point,US,19854.0,28.33,-82.68,97.0,48.0,53.0,1.99
la palma,US,4154.0,33.85,-118.05,78.01,57.0,1.0,8.72
bundaberg,AU,9501.0,-24.85,152.35,55.99,82.0,90.0,6.93
kigoma,TZ,2609.0,-4.88,29.63,77.0,65.0,75.0,1.59
hvolsvollur,IS,93.0,63.75,-20.22,53.6,71.0,75.0,6.93
changqing,CN,2020829.0,36.56,116.73,82.0,70.0,100.0,1.03
embu,BR,8446.0,-23.65,-46.85,63.0,87.0,90.0,12.75
norden,DE,1852.0,53.6,7.2,84.2,30.0,20.0,6.93
orbetello,IT,6793.0,42.44,11.22,78.8,26.0,0.0,1.16
honningsvag,NO,1638.0,70.98,25.97,44.6,93.0,90.0,27.51
lata,PT,2001739.0,40.16,-8.33,75.0,56.0,92.0,5.99
general roca,AR,8310.0,-39.03,-67.58,33.8,88.0,75.0,9.17
natchitoches,US,4502.0,31.77,-93.13,82.4,88.0,90.0,9.15
pangnirtung,CA,968.0,66.15,-65.71,46.4,81.0,90.0,6.93
ancud,CL,8512.0,-41.87,-73.82,44.6,81.0,90.0,5.82
ferrol,ES,6403.0,43.48,-8.24,68.0,77.0,75.0,16.11
calvia,ES,9693.0,39.57,2.51,87.8,33.0,0.0,11.41
neiafu,TO,7292.0,-18.65,-173.98,77.0,88.0,75.0,8.05
mulchen,CL,8479.0,-37.72,-72.23,44.6,100.0,90.0,13.87
grevesmuhlen,DE,2018637.0,53.87,11.18,79.0,73.0,9.0,4.0
beachwood,US,3602.0,41.46,-81.51,82.99,42.0,40.0,10.29
pangai,TO,7286.0,-19.8,-174.35,77.0,78.0,75.0,10.29
prato,IT,6804.0,43.88,11.09,82.99,45.0,0.0,6.93
juelsminde,DK,1595.0,55.71,10.02,77.0,57.0,0.0,6.93
bermejo,AR,8238.0,-32.88,-68.8,55.4,37.0,0.0,4.7
kristianstad,SE,1759.0,56.03,14.15,72.0,68.0,1.0,8.05
christchurch,NZ,7348.0,-43.53,172.63,53.01,100.0,52.0,18.34
batsfjord,NO,1620.0,70.63,29.72,48.2,93.0,75.0,29.97
necochea,AR,2019717.0,-38.55,-58.74,48.99,80.0,25.0,11.01
mililani town,US,7866.0,21.45,-158.0,82.4,65.0,20.0,5.82
yinchuan,CN,2000025.0,38.47,106.27,73.0,31.0,100.0,3.0
burnie,AU,50154.0,-41.07,145.92,39.0,82.0,78.0,5.97
paraiso,CR,7205.0,9.84,-83.87,84.2,61.0,75.0,16.11
coquimbo,CL,8514.0,-29.95,-71.34,59.0,72.0,100.0,12.75
shimoda,JP,2019346.0,34.67,138.95,72.0,90.0,97.0,1.99
huron,US,2001593.0,41.15,-82.55,84.0,50.0,100.0,5.99
vicuna,CL,8514.0,-30.03,-70.71,59.0,72.0,100.0,12.75
barcelos,PT,6900.0,41.54,-8.62,70.0,82.0,90.0,8.05
alofi,NU,7306.0,-19.06,-169.92,66.2,93.0,63.0,1.12
batman,TR,6996.0,37.89,41.13,78.8,57.0,0.0,2.24
acapulco,MX,7103.0,16.86,-99.89,91.4,49.0,90.0,21.92
saint anthony,US,4900.0,45.02,-93.22,82.0,65.0,7.0,6.93
east wenatchee bench,US,3917.0,47.43,-120.28,87.01,22.0,1.0,17.22
maneromango,TZ,2635.0,-7.2,38.78,75.2,83.0,20.0,5.7
kashirskoye,RU,9034.0,51.42,39.61,66.2,55.0,0.0,4.47
raudeberg,NO,1616.0,61.99,5.14,78.8,44.0,0.0,11.41
saginaw,US,4459.0,43.33,-84.03,82.4,39.0,1.0,13.87
road town,VG,8799.0,18.42,-64.62,88.0,70.0,20.0,13.87
florida,US,3612.0,28.75,-82.5,100.99,41.0,40.0,4.7
tondano,ID,9356.0,1.3,124.91,75.2,100.0,40.0,3.13
bamako,ML,2354.0,12.65,-8.0,96.8,41.0,20.0,5.82
